Incident energy;MT=102 : (z,γ);MT=18 : (z,fission)
Incident energy;;
Incident energy;σ(E);σ(E)
1.0E-5;5722.428;30933.41
1.0625E-5;5551.563;30009.75
1.125E-5;5395.141;29164.18
1.1875E-5;5251.237;28386.27
1.25E-5;5118.265;27667.45
1.375E-5;4880.059;26379.77
1.5E-5;4672.287;25256.61
1.625E-5;4488.974;24265.66
1.75E-5;4325.671;23382.88
1.875E-5;4178.982;22589.92
2.0E-5;4046.27;21872.5
2.145532E-5;3906.617;21117.57
2.291063E-5;3780.492;20435.76
2.436594E-5;3665.841;19815.98
2.582125E-5;3561.025;19249.37
2.727657E-5;3464.713;18728.73
2.873188E-5;3375.815;18248.16
3.16425E-5;3216.786;17388.47
3.455313E-5;3078.299;16639.84
3.746375E-5;2956.281;15980.23
4.037438E-5;2847.707;15393.29
4.3285E-5;2750.277;14866.6
4.66425E-5;2649.419;14321.37
5.0E-5;2558.898;13832.02
5.3125E-5;2482.477;13418.89
5.625E-5;2412.515;13040.69
5.9375E-5;2348.152;12692.74
6.25E-5;2288.678;12371.22
6.875E-5;2182.135;11795.26
7.5E-5;2089.202;11292.86
8.125E-5;2007.21;10849.61
8.75E-5;1934.165;10454.73
9.375E-5;1868.552;10100.02
1.0E-4;1809.189;9779.098
1.0625E-4;1755.144;9486.922
1.125E-4;1705.666;9219.439
1.1875E-4;1660.147;8973.357
1.25E-4;1618.086;8745.965
1.375E-4;1542.735;8338.603
1.5E-4;1477.009;7983.272
1.625E-4;1419.018;7669.76
1.75E-4;1367.356;7390.458
1.875E-4;1320.948;7139.562
2.0E-4;1278.961;6912.562
2.1875E-4;1222.86;6609.259
2.375E-4;1173.539;6342.606
2.5625E-4;1129.733;6105.768
2.75E-4;1090.484;5893.572
2.9375E-4;1055.054;5702.019
3.125E-4;1022.861;5527.965
3.3125E-4;993.4399;5368.896
3.5E-4;966.414;5222.778
3.875E-4;918.3674;4963.009
4.25E-4;876.8241;4738.402
4.625E-4;840.4373;4541.674
5.0E-4;808.221;4367.495
5.3125E-4;784.0197;4236.651
5.625E-4;761.862;4116.857
5.9375E-4;741.4753;4006.639
6.25E-4;722.6354;3904.785
6.875E-4;688.8803;3722.3
7.5E-4;659.4315;3563.102
8.125E-4;633.4439;3422.622
8.75E-4;610.2878;3297.456
9.375E-4;589.4829;3185.007
0.001;570.6558;3083.255
0.0010625;553.5112;2990.605
0.001125;537.812;2905.773
0.0011875;523.3653;2827.718
0.00125;510.0126;2755.58
0.001375;486.0825;2626.324
0.0015;465.1973;2513.544
0.001625;446.7594;2414.01
0.00175;430.3233;2325.313
0.001875;415.5496;2245.615
0.002;402.1744;2173.491
0.0021875;384.2888;2077.097
0.002375;368.5488;1992.326
0.0025625;354.5548;1917.018
0.00275;342.004;1849.532
0.0029375;330.6622;1788.603
0.003125;320.3449;1733.23
0.0033125;310.9046;1682.615
0.0035;302.2218;1636.111
0.003875;286.7537;1553.405
0.00425;273.34;1481.856
0.004625;261.5564;1419.166
0.005;251.0937;1363.654
0.0053125;243.2144;1321.958
0.005625;235.9842;1283.792
0.0059375;229.3168;1248.685
0.00625;223.1406;1216.246
0.006875;212.0329;1158.132
0.0075;202.2903;1107.424
0.008125;193.647;1062.67
0.00875;185.9072;1022.797
0.009375;178.9223;986.9879
0.01;172.5765;954.6062
0.010625;166.7781;925.1453
0.01125;161.4526;898.1944
0.011875;156.5384;873.4145
0.0125;151.9842;850.5218
0.01375;143.7902;809.4872
0.015;136.605;773.6318
0.01625;130.2428;741.9386
0.0175;124.5658;713.6589
0.01875;119.466;688.2153
0.02;114.8582;665.1564
0.021325;110.4346;642.9204
0.02265;106.4186;622.617
0.023975;102.7538;603.9645
0.0253;99.39421;586.7371
0.02684375;95.81563;568.2257
0.0283875;92.55272;551.1773
0.02993125;89.56579;535.4072
0.031475;86.82197;520.7648
0.03301875;84.29319;507.1229
0.0345625;81.9538;494.3662
0.03765;77.75278;471.1025
0.0407375;74.07827;450.3475
0.043825;70.83835;431.6954
0.0469125;67.96019;414.8228
0.05;65.38478;399.4649
0.053125;63.0385;385.2449
0.05625;60.91575;372.1799
0.059375;58.98571;360.1253
0.0625;57.22403;348.9655
0.065625;55.61223;338.6122
0.06875;54.13377;328.984
0.075;51.50362;311.525
0.08125;49.23528;296.0788
0.0875;47.27459;282.3595
0.09375;45.57362;270.1044
0.1;44.09431;259.0985
0.107309;42.61044;247.607
0.114618;41.36094;237.4144
0.121927;40.31887;228.3511
0.129236;39.46547;220.2915
0.136545;38.78738;213.1389
0.143854;38.27537;206.8193
0.151163;37.92357;201.2767
0.1584719;37.7288;196.4707
0.1637875;37.68515;193.4219
0.1728407;37.80149;189.0748
0.1818938;38.16215;185.7879
0.1909469;38.76971;183.5601
0.2;39.61991;182.3842
0.2085463;40.63598;182.2364
0.2170926;41.83672;182.9958
0.2256388;43.18129;184.5986
0.2376234;45.17188;187.9895
0.2496079;47.01533;192.07
0.2556002;47.7583;194.0433
0.2615924;48.30364;195.75
0.2675847;48.59794;197.0149
0.2735769;48.59997;197.6775
0.2787838;48.3436;197.662
0.2833399;47.91639;197.1462
0.2878959;47.30251;196.1381
0.2924519;46.51141;194.6345
0.2970079;45.55849;192.6501
0.3015639;44.46392;190.2156
