Incident energy;MT=2 : (z,elastic);MT=102 : (z,γ)
Incident energy;;
Incident energy;σ(E);σ(E)
1.0E-5;78.26556;0.1942569
1.0625E-5;75.93616;0.1884568
1.125E-5;73.80389;0.1831471
1.1875E-5;71.84244;0.1782623
1.25E-5;70.03018;0.1737486
1.375E-5;66.78419;0.1656628
1.5E-5;63.95347;0.1586101
1.625E-5;61.4565;0.1523876
1.75E-5;59.23251;0.1468444
1.875E-5;57.2352;0.1418651
2.0E-5;55.42855;0.1373603
2.1875E-5;53.01532;0.1313416
2.375E-5;50.89445;0.1260505
2.5625E-5;49.0114;0.1213513
2.75E-5;47.32487;0.1171413
2.9375E-5;45.80296;0.1133411
3.125E-5;44.42056;0.1098883
3.3125E-5;43.15764;0.1067329
3.5E-5;41.99795;0.1038346
3.75E-5;40.58963;0.1003138
4.0E-5;39.31601;0.09712842
4.25E-5;38.15692;0.09422841
4.625E-5;36.59858;0.09032759
5.0E-5;35.21983;0.08687429
5.3125E-5;34.18478;0.08428044
5.625E-5;33.23768;0.08190587
5.9375E-5;32.3668;0.07972132
6.25E-5;31.56247;0.07770273
6.875E-5;30.12264;0.07408664
7.5E-5;28.86799;0.07093256
8.0E-5;27.9728;0.06868015
8.75E-5;26.77792;0.06567078
9.375E-5;25.89472;0.06344401
1.0E-4;25.09643;0.0614294
1.0625E-4;24.37037;0.05959527
1.125E-4;23.70633;0.05791619
1.1875E-4;23.09601;0.05637148
1.25E-4;22.53261;0.05494412
1.375E-4;21.52477;0.05238716
1.5E-4;20.6474;0.05015689
1.625E-4;19.8748;0.04818918
1.75E-4;19.18785;0.04643625
1.875E-4;18.57198;0.04486168
2.0E-4;18.01585;0.04343713
2.1875E-4;17.27459;0.04153384
2.375E-4;16.6248;0.03986064
2.5625E-4;16.04935;0.03837463
2.75E-4;15.53528;0.03704331
2.9375E-4;15.07255;0.03584158
3.125E-4;14.65332;0.0347497
3.3125E-4;14.27128;0.03375189
3.5E-4;13.92136;0.03283538
3.75E-4;13.49766;0.03172199
4.0E-4;13.11575;0.03071468
4.25E-4;12.76936;0.02979761
4.625E-4;12.30556;0.02856407
5.0E-4;11.89725;0.02747204
5.3125E-4;11.5921;0.02665179
5.625E-4;11.31403;0.02590088
5.9375E-4;11.05938;0.02521007
6.25E-4;10.82514;0.02457173
6.875E-4;10.40833;0.02342823
7.5E-4;10.04802;0.02243081
8.0E-4;9.79278;0.02171854
8.75E-4;9.454742;0.02076689
9.375E-4;9.207022;0.02006272
0.001;8.984848;0.01942565
0.0010625;8.784315;0.01884564
0.001125;8.602298;0.01831467
0.0011875;8.436263;0.01782619
0.00125;8.284128;0.01737482
0.001375;8.014937;0.01656623
0.0015;7.783971;0.01586096
0.001625;7.583467;0.01523871
0.00175;7.407673;0.01468439
0.001875;7.252219;0.01418646
0.002;7.113728;0.01373598
0.0021875;6.932132;0.0131341
0.002375;6.775997;0.01260499
0.0025625;6.640304;0.01213507
0.00275;6.521281;0.01171407
0.0029375;6.416041;0.01133405
0.003125;6.322328;0.01098876
0.0033125;6.238358;0.01067323
0.0035;6.162697;0.0103834
0.00375;6.072758;0.01003131
0.004;5.993336;0.009712773
0.00425;5.922709;0.009422771
0.004625;5.830339;0.009032688
0.005;5.751192;0.008687357
0.0053125;5.693426;0.008427972
0.005625;5.64185;0.008190514
0.0059375;5.595531;0.007972058
0.00625;5.553714;0.007770199
0.006875;5.48122;0.007408591
0.0075;5.420582;0.007093183
0.008;5.378791;0.006867943
0.00875;5.324955;0.006567008
0.009375;5.286613;0.006344331
0.01;5.253031;0.006142871
0.010625;5.223379;0.00595946
0.01125;5.197008;0.005791554
0.011875;5.173405;0.005637085
0.0125;5.152156;0.005494351
0.01375;5.115444;0.005238659
0.015;5.084844;0.005015636
0.01625;5.058948;0.004818868
0.0175;5.036751;0.004643579
0.01875;5.017513;0.004486125
0.02;5.000679;0.004343672
0.021325;4.984989;0.004206565
0.02265;4.971136;0.004081672
0.023975;4.958813;0.003967282
0.0253;4.947781;0.003861999
0.02722969;4.933635;0.003722641
0.02915938;4.921361;0.003597356
0.03108907;4.910611;0.003483925
0.03301875;4.901118;0.003380589
0.03494844;4.892673;0.003285934
0.03687813;4.885111;0.003198809
0.0407375;4.872137;0.003043515
0.04305313;4.86547;0.002960534
0.04536875;4.859482;0.00288399
0.05;4.849172;0.002747178
0.0506;4.847974;0.002730841
0.0520875;4.845124;0.002691565
0.053575;4.842432;0.002653936
0.05655;4.837473;0.002583184
0.0625;4.828971;0.002457153
0.06875;4.821625;0.002342809
0.075;4.815504;0.002243076
0.08125;4.810324;0.002155085
0.0875;4.805884;0.002076696
0.09375;4.802036;0.002006281
0.1;4.798669;0.001942574
0.10625;4.795699;0.001884574
0.1125;4.793058;0.001831478
0.11875;4.790695;0.001782634
0.125;4.788569;0.001737503
0.1375;4.784896;0.001656657
0.15;4.781835;0.001586137
0.1625;4.779245;0.001523917
0.175;4.777025;0.001468489
0.1875;4.775102;0.001418697
0.2;4.773418;0.001373642
0.21875;4.771254;0.001313435
0.2375;4.769431;0.001260517
0.25625;4.767875;0.001213541
0.275;4.766531;0.00117146
0.29375;4.765358;0.00113346
0.3125;4.764327;0.001098921
0.33125;4.763412;0.001067364
0.35;4.762595;0.00103839
